name,source,servings,ingredients_resolved,coverage_pct,listed_kcal,computed_kcal_per_serving,kcal_diff_pct,listed_P,computed_P,p_diff_pct,listed_C,computed_C,c_diff_pct,listed_F,computed_F,f_diff_pct,status,worst_variance,unresolved
Lentil Soup & Bread,meals.ts,1,3/7,43%,400.0,207.1,-48.2,22.0,2.5,-88.5,55.0,13.7,-75.1,8.0,15.9,99.0,LOW_COVERAGE,99.0,Green or brown lentils (1.0 cup dry → can't convert to grams); Onion (1.0 small diced → can't convert to grams); Carrot (1.0 diced → can't convert to grams)
Salmon Poke Bowl,meals.ts,1,2/6,33%,520.0,28.7,-94.5,32.0,0.9,-97.2,50.0,1.2,-97.7,20.0,2.5,-87.6,LOW_COVERAGE,97.7,Sushi-grade salmon (5.0 oz cubed → can't convert to grams); Sushi rice (1.0 cup cooked → can't convert to grams); Avocado (0.5 sliced → can't convert to grams)
Black Bean Burrito Bowl,meals.ts,1,0/6,0%,550.0,0.0,-100.0,20.0,0.0,-100.0,70.0,0.0,-100.0,18.0,0.0,-100.0,LOW_COVERAGE,100.0,Black beans (0.5 can drained → can't convert to grams); White rice (1.0 cup cooked → can't convert to grams); Corn (no USDA mapping)
Grilled Chicken Salad,meals.ts,1,2/6,33%,400.0,135.8,-66.1,35.0,0.0,-100.0,15.0,0.0,-100.0,22.0,15.0,-31.8,LOW_COVERAGE,100.0,Chicken breast (4.0 oz grilled → can't convert to grams); Mixed greens (no USDA mapping); Cherry tomatoes (0.5 cup halved → can't convert to grams)
Veggie Stir Fry with Tofu,meals.ts,1,2/7,29%,480.0,132.6,-72.4,22.0,0.0,-100.0,55.0,0.0,-100.0,16.0,15.0,-6.2,LOW_COVERAGE,100.0,Firm tofu (0.5 block cubed → can't convert to grams); Broccoli (1.0 cup florets → can't convert to grams); Bell pepper (1.0 sliced → can't convert to grams)
Shrimp Tacos,meals.ts,1,2/6,33%,450.0,491.1,9.1,30.0,12.1,-59.8,40.0,73.5,83.8,18.0,16.2,-10.2,LOW_COVERAGE,83.8,Shrimp (6.0 oz peeled → can't convert to grams); Cabbage (1.0 cup shredded → can't convert to grams); Lime (1.0 whole → can't convert to grams)
Mediterranean Plate,meals.ts,1,0/5,0%,520.0,0.0,-100.0,18.0,0.0,-100.0,55.0,0.0,-100.0,24.0,0.0,-100.0,LOW_COVERAGE,100.0,Hummus (no USDA mapping); Falafel (frozen or premade) (no USDA mapping); Tabbouleh (no USDA mapping)
Chicken Quesadilla,meals.ts,1,2/5,40%,500.0,336.1,-32.8,32.0,39.2,22.4,35.0,24.5,-30.0,24.0,7.8,-67.5,LOW_COVERAGE,67.5,Shredded cheese (no USDA mapping); Salsa (no USDA mapping); Cooking spray (no USDA mapping)
Keto Burger Bowl,meals.ts,1,2/6,33%,480.0,398.7,-16.9,35.0,39.1,11.6,8.0,9.6,19.9,34.0,21.8,-36.0,LOW_COVERAGE,36.0,Romaine lettuce (2.0 cups chopped → can't convert to grams); Cheddar cheese (1.0 slice → can't convert to grams); Dill pickles (3.0 slices → can't convert to grams)
Baked Salmon with Sweet Potato,meals.ts,1,3/6,50%,546.0,636.9,16.7,38.0,40.9,7.6,40.0,34.8,-13.1,26.0,36.3,39.5,LOW_COVERAGE,39.5,Green beans (no USDA mapping); Lemon (0.5 sliced → can't convert to grams); Salt and pepper (1.0 pinch each → can't convert to grams)
